metric,seed,task,prediction_file,model,source_family,n_samples,recomputed_test_score,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_505.csv,global_single,controlled_three_view_pool,406,0.799816291432145,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_101.csv,oof_stacking,controlled_three_view_pool,406,0.8812734521575984,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_202.csv,oof_stacking,controlled_three_view_pool,406,0.882895559724828,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_303.csv,oof_stacking,controlled_three_view_pool,406,0.8718339587242027,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_404.csv,oof_stacking,controlled_three_view_pool,406,0.8777556285178236,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_505.csv,oof_stacking,controlled_three_view_pool,406,0.8793581926203878,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_101.csv,per_task_single,controlled_three_view_pool,406,0.8294637273295811,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_202.csv,per_task_single,controlled_three_view_pool,406,0.8329424640400249,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_303.csv,per_task_single,controlled_three_view_pool,406,0.8225453408380238,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_404.csv,per_task_single,controlled_three_view_pool,406,0.8344277673545966,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_505.csv,per_task_single,controlled_three_view_pool,406,0.8294246404002501,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,1,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/bbb_martins/seed_1.csv,trimole_hybrid,submitted_taskwise_system,406,0.9281191369606004,6,formal audited variants,historical validation-only search; six formal variants audited,five-run aggregate scores archived; one five-model ensemble prediction array archived
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/uniform_average_seed_101.csv,uniform_average,controlled_three_view_pool,406,0.883462320200125,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/uniform_average_seed_202.csv,uniform_average,controlled_three_view_pool,406,0.8837945590994372,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/uniform_average_seed_303.csv,uniform_average,controlled_three_view_pool,406,0.874335522201376,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/uniform_average_seed_404.csv,uniform_average,controlled_three_view_pool,406,0.8788500625390869,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/uniform_average_seed_505.csv,uniform_average,controlled_three_view_pool,406,0.8815079737335835,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top2_average_seed_101.csv,validation_top2_average,controlled_three_view_pool,406,0.8546357098186366,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top2_average_seed_202.csv,validation_top2_average,controlled_three_view_pool,406,0.8551829268292683,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top2_average_seed_303.csv,validation_top2_average,controlled_three_view_pool,406,0.846896497811132,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top2_average_seed_404.csv,validation_top2_average,controlled_three_view_pool,406,0.8550852095059412,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top2_average_seed_505.csv,validation_top2_average,controlled_three_view_pool,406,0.8515869293308318,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top3_average_seed_101.csv,validation_top3_average,controlled_three_view_pool,406,0.883462320200125,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top3_average_seed_202.csv,validation_top3_average,controlled_three_view_pool,406,0.8837945590994372,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
