task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
bbb_martins,AUROC,validation_top2_average,202,9,0,,,0.9194418386491556,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top2_average_seed_202.csv
bbb_martins,AUROC,validation_top3_average,202,9,0,,,0.909631019387117,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top3_average_seed_202.csv
bbb_martins,AUROC,uniform_candidate_average,202,9,0,,,0.8899702939337086,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/uniform_candidate_average_seed_202.csv
bbb_martins,AUROC,validation_stacking,202,9,0,,,0.8356003752345216,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_stacking_seed_202.csv
bbb_martins,AUROC,common_pool_taskwise_selector,202,9,6,validation_top2_average,,0.9194418386491556,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_taskwise_selector_seed_202.csv
bbb_martins,AUROC,common_pool_automl,202,9,6,,5.0,0.8852994058786742,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_automl_seed_202.csv
bbb_martins,AUROC,global_single,303,9,0,,,0.907520325203252,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/global_single_seed_303.csv
bbb_martins,AUROC,per_task_single,303,9,0,,,0.907520325203252,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/per_task_single_seed_303.csv
bbb_martins,AUROC,validation_top2_average,303,9,0,,,0.9235850531582238,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top2_average_seed_303.csv
bbb_martins,AUROC,validation_top3_average,303,9,0,,,0.9109208880550344,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top3_average_seed_303.csv
bbb_martins,AUROC,uniform_candidate_average,303,9,0,,,0.906816760475297,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/uniform_candidate_average_seed_303.csv
bbb_martins,AUROC,validation_stacking,303,9,0,,,0.816447779862414,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_stacking_seed_303.csv
bbb_martins,AUROC,common_pool_taskwise_selector,303,9,6,validation_top2_average,,0.9235850531582238,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_taskwise_selector_seed_303.csv
bbb_martins,AUROC,common_pool_automl,303,9,6,,5.0,0.8725375234521575,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_automl_seed_303.csv
bbb_martins,AUROC,global_single,404,9,0,,,0.9058786741713571,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/global_single_seed_404.csv
bbb_martins,AUROC,per_task_single,404,9,0,,,0.9058786741713571,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/per_task_single_seed_404.csv
bbb_martins,AUROC,validation_top2_average,404,9,0,,,0.921904315196998,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top2_average_seed_404.csv
bbb_martins,AUROC,validation_top3_average,404,9,0,,,0.9106081926203876,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top3_average_seed_404.csv
