task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,reference_seed_count,comparator_seed_count,paired_seed_ids,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,resampling_mode,seed_resampling,reference_seed_uncertainty_available,comparator_seed_uncertainty_available,p_value_bh_fdr,significant_fdr_0_05
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.4237101064659848,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.4434382879679935,-0.0197281815020087,-0.0553040870188306,0.0584007399564796,0.948905109489051,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7873296367336925,-0.0100445344069572,-0.0180452733108286,-0.0010709007725922,0.0281971802819718,10000,hierarchical_seed_and_sample,paired,True,True,0.0977467470644239,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7535146531235783,0.0237704492031568,0.0136706855129301,0.0344772065018562,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.774898532346017,0.0023865699807181,-0.0069464778080468,0.0133774883870602,0.5695430456954305,10000,hierarchical_seed_and_sample,paired,True,True,0.924555965456086,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7735617134114103,0.0037233889153248,-0.010931253008815,0.0232716194939173,0.4821517848215178,10000,hierarchical_seed_and_sample,paired,True,True,0.840859734251294,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7868965304793734,-0.0096114281526381,-0.0170007754189656,-0.0004217939917338,0.0411958804119588,10000,hierarchical_seed_and_sample,paired,True,True,0.1294727670090134,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7772851023267352,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2419,0.7772851023267352,0.7773150287532995,-2.9926426564297337e-05,-0.0070162570480965,0.0070942673538469,0.996100389961004,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.6641912694320997,0.0281578209252852,-0.0309063255338932,0.1187207680446277,0.3001699830016998,10000,hierarchical_seed_and_sample,paired,True,True,0.6510729208769264,False
