task,metric,model,score_mean,score_sd,n_seeds
half_life_obach,Spearman,common_pool_taskwise_selector,0.4018744224350543,0.0322303826400825,5
half_life_obach,Spearman,global_single,0.3850970831788019,0.0292139793668846,5
half_life_obach,Spearman,per_task_single,0.4018744224350543,0.0322303826400825,5
half_life_obach,Spearman,uniform_candidate_average,0.2558622825218398,0.0059675644119205,5
half_life_obach,Spearman,validation_stacking,0.0635799552287831,0.053145637511546,5
half_life_obach,Spearman,validation_top2_average,0.4050159356735118,0.0276575284235238,5
half_life_obach,Spearman,validation_top3_average,0.4171807418560895,0.0131255902745837,5
herg,AUROC,common_pool_automl,0.7941973490427099,0.0160856163346372,5
herg,AUROC,common_pool_taskwise_selector,0.8164948453608247,0.0092138393635446,5
herg,AUROC,global_single,0.8164948453608247,0.0092138393635446,5
herg,AUROC,per_task_single,0.8164948453608247,0.0092138393635446,5
herg,AUROC,uniform_candidate_average,0.8051840942562591,0.0205681057496864,5
herg,AUROC,validation_stacking,0.7630633284241531,0.0334750224602647,5
herg,AUROC,validation_top2_average,0.8217967599410899,0.009615854693906,5
herg,AUROC,validation_top3_average,0.8059499263622975,0.0075596911547651,5
hia_hou,AUROC,common_pool_automl,0.9796707818930042,0.0023388102450013,5
hia_hou,AUROC,common_pool_taskwise_selector,0.9692181069958848,0.0051101766506256,5
hia_hou,AUROC,global_single,0.9700411522633744,0.005360862245097,5
hia_hou,AUROC,per_task_single,0.9508641975308642,0.0042528430231321,5
hia_hou,AUROC,uniform_candidate_average,0.9805761316872428,0.0046503878474129,5
hia_hou,AUROC,validation_stacking,0.9737448559670782,0.0113389235221692,5
hia_hou,AUROC,validation_top2_average,0.9692181069958848,0.0051101766506256,5
hia_hou,AUROC,validation_top3_average,0.9772016460905352,0.0039749763427303,5
ld50_zhu,MAE,common_pool_automl,0.6256595515633686,0.0039073250434134,5
ld50_zhu,MAE,common_pool_taskwise_selector,0.6263574213454951,0.0040829034435755,5
ld50_zhu,MAE,global_single,0.6192784958322057,0.0028953507958437,5
ld50_zhu,MAE,per_task_single,0.6192784958322057,0.0028953507958437,5
ld50_zhu,MAE,uniform_candidate_average,0.6176214594320779,0.0008713465287948,5
ld50_zhu,MAE,validation_stacking,0.6263574213454951,0.0040829034435755,5
ld50_zhu,MAE,validation_top2_average,0.6213512131326117,0.0033759514112809,5
ld50_zhu,MAE,validation_top3_average,0.6289902273883626,0.0018552928450382,5
lipophilicity_astrazeneca,MAE,common_pool_automl,0.5174565949568415,0.004166107774615,5
lipophilicity_astrazeneca,MAE,common_pool_taskwise_selector,0.5146131430981485,0.004013964506286,5
lipophilicity_astrazeneca,MAE,global_single,0.6003640696505238,0.0040253666418568,5
lipophilicity_astrazeneca,MAE,per_task_single,0.5572363429341667,0.0,5
lipophilicity_astrazeneca,MAE,uniform_candidate_average,0.53182602305,0.0005849367301111,5
lipophilicity_astrazeneca,MAE,validation_stacking,0.5146131430981485,0.004013964506286,5
lipophilicity_astrazeneca,MAE,validation_top2_average,0.5563194900861309,0.0,5
lipophilicity_astrazeneca,MAE,validation_top3_average,0.5110306947009524,0.0016224395858039,5
