record_type,task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05,descriptor,group,threshold_task_median,positive_n,prevalence,metric_valid,validity_reason,bootstrap_replicates_requested
property_subgroup,cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,68,0.448674909289203,0.3699410393528041,0.0787338699363989,-0.0381059692656987,0.2362532279529121,0.195980401959804,10000.0,0.2312921860967056,False,tpsa,low_or_equal_median,57.690000000000005,22.0,0.3235294117647059,True,valid,10000.0
property_subgroup,cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,67,0.4611804664342615,0.3873015588267454,0.0738789076075161,-0.0337256120829681,0.2513637360287613,0.1503849615038496,10000.0,0.1824113884907805,False,tpsa,above_median,57.690000000000005,16.0,0.2388059701492537,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1210,0.6820264017651616,0.5335536733296731,0.1484727284354885,0.0887700633466793,0.20652129457821,0.0001999800019998,10000.0,0.0004030366194149,True,molecular_weight,low_or_equal_median,342.786,239.0,0.1975206611570248,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1209,0.8295457397343743,0.733067416556032,0.0964783231783422,0.0625446402715259,0.1308069296388954,0.0001999800019998,10000.0,0.0004030366194149,True,molecular_weight,above_median,342.786,531.0,0.4392059553349876,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1210,0.5747652517095108,0.4207753279944487,0.153989923715062,0.0832057397187036,0.2175229085299897,0.0001999800019998,10000.0,0.0004030366194149,True,clogp,low_or_equal_median,2.994200000000002,183.0,0.1512396694214876,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1209,0.8350810743270145,0.7472718322293556,0.0878092420976589,0.0559153056291338,0.1201431401952334,0.0001999800019998,10000.0,0.0004030366194149,True,clogp,above_median,2.994200000000002,587.0,0.4855252274607113,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1211,0.7770490903239122,0.6634065473840698,0.1136425429398424,0.0739396968213982,0.1526664445004241,0.0001999800019998,10000.0,0.0004030366194149,True,tpsa,low_or_equal_median,68.19,396.0,0.3270024772914946,True,valid,10000.0
property_subgroup,cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1208,0.8097214080138849,0.7041210794805642,0.1056003285333206,0.0635820465919417,0.1472877210920307,0.0001999800019998,10000.0,0.0004030366194149,True,tpsa,above_median,68.19,374.0,0.3096026490066225,True,valid,10000.0
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,68,0.7919429878776012,0.562755705305543,0.2291872825720582,0.1174414267711728,0.3455779930813575,0.0001999800019998,10000.0,0.0004030366194149,True,molecular_weight,low_or_equal_median,317.42900000000014,26.0,0.3823529411764705,True,valid,10000.0
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,67,0.7082127801803668,0.4368595223454056,0.2713532578349611,0.1167549091090418,0.4148501994976474,0.0013998600139986,10000.0,0.0025828403075185,True,molecular_weight,above_median,317.42900000000014,17.0,0.2537313432835821,True,valid,10000.0
