task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
clearance_hepatocyte_az,no_chemistry_sidecar,Spearman,max,5,0.2539632068715589,0.0,0.536,-0.2820367931284411,-0.298076793128441,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,Spearman,0.4082347161150715,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
clearance_microsome_az,no_chemistry_sidecar,Spearman,max,5,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
cyp2c9_substrate_carbonmangels,no_chemistry_sidecar,AUPRC,max,5,0.314733839909625,0.0180864596755884,0.474,-0.1592661600903749,-0.1286361600903749,False,deep_chemberta_kpgt_ridge_linear,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,AUPRC,0.2819285157904561,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ridge_linear/cyp2c9_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
cyp2c9_veith,no_chemistry_sidecar,AUPRC,max,5,0.539594112867986,0.0034995913072678,0.859,-0.319405887132014,-0.250991887132014,False,deep_chemberta_kpgt_ept_ridge_linear,ChemBERTa+KPGT+EPT embeddings + target-standardized Ridge/linear head,AUPRC,0.5506712597295177,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ept_ridge_linear/cyp2c9_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
cyp2d6_substrate_carbonmangels,no_chemistry_sidecar,AUPRC,max,5,0.490912627193418,0.0226940162726799,0.736,-0.2450873728065819,-0.2566183728065819,False,deep_chemberta_kpgt_ridge_linear,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,AUPRC,0.381539667320188,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ridge_linear/cyp2d6_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
cyp2d6_veith,no_chemistry_sidecar,AUPRC,max,5,0.352326946808219,0.0128635021097552,0.79,-0.437673053191781,-0.366845053191781,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,AUPRC,0.4312145513259605,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/cyp2d6_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
cyp3a4_substrate_carbonmangels,no_chemistry_sidecar,AUROC,max,5,0.6063517179023508,0.02288576059705,0.667,-0.0606482820976492,-0.1188972820976492,False,deep_chemberta_kpgt_ept_ridge_linear,ChemBERTa+KPGT+EPT embeddings + target-standardized Ridge/linear head,AUROC,0.6519713261648745,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ept_ridge_linear/cyp3a4_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
cyp3a4_veith,no_chemistry_sidecar,AUPRC,max,5,0.6570096427362475,0.0072884686473624,0.916,-0.2589903572637525,-0.2271113572637525,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,AUPRC,0.6743520107899456,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/cyp3a4_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
dili,no_chemistry_sidecar,AUROC,max,5,0.7661739130434783,0.0279504692887142,0.956,-0.1898260869565217,-0.1424350869565217,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,AUROC,0.7934065934065934,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/dili/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
half_life_obach,no_chemistry_sidecar,Spearman,max,5,0.3317560765672304,0.0,0.576,-0.2442439234327695,-0.1596339234327696,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,Spearman,0.2477424017692278,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/half_life_obach/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
