task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
caco2_wang,MAE,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.33397820711686693,0.051701456026182036,0.015894010041980138,0.0873139553007859,0.0045995400459954,10000,0.007083291670832916,True
caco2_wang,MAE,trimole_hybrid,oof_stacking,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.3750400067409701,0.0927632556502852,0.0489538025943682,0.13666257876967416,0.00019998000199980003,10000,0.00040522263563117373,True
caco2_wang,MAE,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.33397820711686693,0.051701456026182036,0.015241104102486434,0.08759439452709414,0.005599440055994401,10000,0.008371978336146968,True
caco2_wang,MAE,trimole_hybrid,uniform_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.6101151665235414,0.32783841543285647,0.2516221085824963,0.405345451608964,0.00019998000199980003,10000,0.00040522263563117373,True
caco2_wang,MAE,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.4342931651491019,0.15201641405841698,0.09677333868261626,0.20713562566745328,0.00019998000199980003,10000,0.00040522263563117373,True
caco2_wang,MAE,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.6101151665235414,0.32783841543285647,0.2510638052299293,0.40475742108128454,0.00019998000199980003,10000,0.00040522263563117373,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.16275463651083671,0.11252185673413923,0.043614125318627045,0.1824971413624051,0.0007999200079992001,10000,0.0014159503589870899,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.2494328237039323,0.02584366954104364,-0.07263676522760824,0.11905712607165586,0.6159384061593841,10000,0.6199641473761122,False
clearance_hepatocyte_az,Spearman,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.34026428490466226,-0.06498779165968632,-0.15242193147168517,0.021784480155806685,0.141985801419858,10000,0.16950242960200101,False
clearance_hepatocyte_az,Spearman,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3302528679512532,-0.05497637470627725,-0.1776726721603382,0.0696138894004107,0.391960803919608,10000,0.4051138510310043,False
clearance_hepatocyte_az,Spearman,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3910450836839079,-0.11576859043893195,-0.218810083365327,-0.014131023949985196,0.0217978202179782,10000,0.030242020842960748,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3494246389429374,-0.07414814569796147,-0.17194498178133627,0.02141256195066096,0.1311868813118688,10000,0.15783421657834218,False
clearance_hepatocyte_az,Spearman,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3910450836839079,-0.11576859043893195,-0.21721106351050523,-0.011160657155016039,0.029197080291970802,10000,0.03909869882576959,True
clearance_microsome_az,Spearman,trimole_hybrid,flaml_automl,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.5820979975256853,0.06228898330565491,0.013499472949090197,0.11710422603646797,0.011198880111988802,10000,0.016425024164250242,True
clearance_microsome_az,Spearman,trimole_hybrid,global_single,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.4882190049070579,0.15616797592428228,0.06509541206469265,0.2522784540265882,0.00039996000399960006,10000,0.0007511443977553465,True
