task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
clearance_microsome_az,Spearman,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.48821900490705794,0.0
clearance_microsome_az,Spearman,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.5070180635307308,0.00946973222358772
clearance_microsome_az,Spearman,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.3076166726578927,0.0
clearance_microsome_az,Spearman,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,221,0.6428140013895282,0.005773149213733588
clearance_microsome_az,Spearman,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.47616601016656224,0.0
clearance_microsome_az,Spearman,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.47318173502648764,0.0
clearance_microsome_az,Spearman,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,221,0.47616601016656224,0.0
cyp2c9_substrate_carbonmangels,AUPRC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,135,0.3690696960908451,0.032262955638859794
cyp2c9_substrate_carbonmangels,AUPRC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.3335485013149069,0.0057838249600720955
cyp2c9_substrate_carbonmangels,AUPRC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.3630312669018859,0.014255511650231369
cyp2c9_substrate_carbonmangels,AUPRC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.3239077437087706,0.008748208014425
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,135,0.44336989858610193,0.023358081432392347
cyp2c9_substrate_carbonmangels,AUPRC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.3719007673975094,0.008691724314473064
cyp2c9_substrate_carbonmangels,AUPRC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.36386266936924266,0.005768622112911682
