task,variant,metric,direction,score_mean,score_std,top1_ref,direction_normalized_margin,full_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate
cyp2d6_substrate_carbonmangels,no_ept_or_no_3d,AUPRC,max,0.7021059512272266,0.0133283670343022,0.736,-0.0338940487727733,0.0115309999999999,-0.0454250487727733,False,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,no_ept_or_no_3d,AUPRC,max,0.6961381524649516,0.0036931380719961,0.79,-0.0938618475350484,-0.070828,-0.0230338475350484,False,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_ept_or_no_3d,AUROC,max,0.6705470162748643,0.0067111360033017,0.667,0.0035470162748643,0.0582489999999999,-0.0547019837251356,True,chem_fp_xgb
cyp3a4_veith,no_ept_or_no_3d,AUPRC,max,0.8612921926155332,0.0011695924276257,0.916,-0.0547078073844667,-0.0318789999999999,-0.0228288073844667,False,chem_fp_chemberta_kpgt_xgb
dili,no_ept_or_no_3d,AUROC,max,0.8666086956521738,0.0067314121299144,0.956,-0.0893913043478261,-0.0473909999999999,-0.0420003043478262,False,chem_fp_xgb
half_life_obach,no_ept_or_no_3d,Spearman,max,0.4018744224350543,0.0322303826400825,0.576,-0.1741255775649456,-0.0846099999999999,-0.0895155775649456,False,chem_fp_chemberta_kpgt_xgb
herg,no_ept_or_no_3d,AUROC,max,0.8139911634756996,0.0093214977310437,0.88,-0.0660088365243004,-0.016642,-0.0493668365243004,False,chem_fp_chemberta_kpgt_xgb
hia_hou,no_ept_or_no_3d,AUROC,max,0.9508641975308642,0.0042528430231321,0.993,-0.0421358024691358,0.00128,-0.0434158024691359,False,chem_fp_chemberta_kpgt_xgb
ld50_zhu,no_ept_or_no_3d,MAE,min,0.6285455688031343,0.0051829316939143,0.552,-0.0765455688031342,-0.0510709999999999,-0.0254745688031342,False,chem_fp_chemberta_kpgt_xgb
lipophilicity_astrazeneca,no_ept_or_no_3d,MAE,min,0.5614764313300451,0.0,0.456,-0.105476431330045,-0.0168949999999999,-0.088581431330045,False,deep_kpgt_ridge_linear
pgp_broccatelli,no_ept_or_no_3d,AUROC,max,0.9309650759797388,0.0022682176461591,0.938,-0.0070349240202611,0.000363,-0.0073979240202611,False,chem_fp_chemberta_kpgt_xgb
ppbr_az,no_ept_or_no_3d,MAE,min,8.861805945872408,0.11970866586955,7.44,-1.421805945872408,0.1093830000000002,-1.531188945872408,False,chem_fp_chemberta_kpgt_xgb
solubility_aqsoldb,no_ept_or_no_3d,MAE,min,0.8666045093254535,0.0033285437734012,0.741,-0.1256045093254535,0.002557,-0.1281615093254535,False,chem_fp_chemberta_kpgt_xgb
vdss_lombardo,no_ept_or_no_3d,Spearman,max,0.4570863339950263,0.0131220791005511,0.713,-0.2559136660049736,-0.0520049999999999,-0.2039086660049737,False,chem_fp_xgb
ames,no_prediction_level_ensemble,AUROC,max,0.8552409485206288,0.0018591938264062,0.871,-0.0157590514793711,0.0009449999999999,-0.0167040514793711,False,chem_fp_chemberta_kpgt_xgb
bbb_martins,no_prediction_level_ensemble,AUROC,max,0.9048076923076924,0.0020873298602146,0.924,-0.0191923076923077,0.0037789999999999,-0.0229713076923077,False,chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,no_prediction_level_ensemble,AUROC,max,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.2197519999999999,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb
caco2_wang,no_prediction_level_ensemble,MAE,min,0.3653081944549426,0.022378045376126,0.256,-0.1093081944549426,-0.0276469999999999,-0.0816611944549426,False,chem_fp_chemberta_kpgt_ept_xgb
clearance_hepatocyte_az,no_prediction_level_ensemble,Spearman,max,0.2003195287770167,0.0182003793867156,0.536,-0.3356804712229833,0.0160399999999999,-0.3517204712229832,False,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,no_prediction_level_ensemble,Spearman,max,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,0.0128139999999999,-0.2045699580580495,False,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_prediction_level_ensemble,AUPRC,max,0.4317527297592513,0.0189350356041419,0.474,-0.0422472702407486,-0.0306299999999999,-0.0116172702407486,False,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,no_prediction_level_ensemble,AUPRC,max,0.7710219942765797,0.0023590094440746,0.859,-0.0879780057234203,-0.0684139999999999,-0.0195640057234203,False,chem_fp_chemberta_kpgt_xgb
cyp2d6_substrate_carbonmangels,no_prediction_level_ensemble,AUPRC,max,0.7021059512272266,0.0133283670343022,0.736,-0.0338940487727733,0.0115309999999999,-0.0454250487727733,False,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,no_prediction_level_ensemble,AUPRC,max,0.6961381524649516,0.0036931380719961,0.79,-0.0938618475350484,-0.070828,-0.0230338475350484,False,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_prediction_level_ensemble,AUROC,max,0.6705470162748643,0.0067111360033017,0.667,0.0035470162748643,0.0582489999999999,-0.0547019837251356,True,chem_fp_xgb
cyp3a4_veith,no_prediction_level_ensemble,AUPRC,max,0.8612921926155332,0.0011695924276257,0.916,-0.0547078073844667,-0.0318789999999999,-0.0228288073844667,False,chem_fp_chemberta_kpgt_xgb
dili,no_prediction_level_ensemble,AUROC,max,0.8666086956521738,0.0067314121299144,0.956,-0.0893913043478261,-0.0473909999999999,-0.0420003043478262,False,chem_fp_xgb
half_life_obach,no_prediction_level_ensemble,Spearman,max,0.4018744224350543,0.0322303826400825,0.576,-0.1741255775649456,-0.0846099999999999,-0.0895155775649456,False,chem_fp_chemberta_kpgt_xgb
herg,no_prediction_level_ensemble,AUROC,max,0.8164948453608247,0.0092138393635446,0.88,-0.0635051546391752,-0.016642,-0.0468631546391752,False,chem_fp_chemberta_kpgt_ept_xgb
hia_hou,no_prediction_level_ensemble,AUROC,max,0.9508641975308642,0.0042528430231321,0.993,-0.0421358024691358,0.00128,-0.0434158024691359,False,chem_fp_chemberta_kpgt_xgb
ld50_zhu,no_prediction_level_ensemble,MAE,min,0.6192784960295092,0.0028953504959784,0.552,-0.0672784960295092,-0.0510709999999999,-0.0162074960295092,False,chem_fp_chemberta_kpgt_ept_xgb
