task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
cyp2c9_substrate_carbonmangels,AUPRC,per_task_single,9,0.43175272975925133,0.01893503560414192,5,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_substrate_carbonmangels,AUPRC,uniform_candidate_average,9,0.39461964060827043,0.008095371707875432,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,AUPRC,validation_stacking,9,0.38011750009005574,0.03286524799711468,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,AUPRC,validation_top2_average,9,0.43761722145889126,0.02122178892846616,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
cyp2c9_substrate_carbonmangels,AUPRC,validation_top3_average,9,0.4347892129601768,0.013708581361747725,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
cyp2c9_veith,AUPRC,global_single,9,0.7514518581428009,0.002676408912295299,5,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,AUPRC,per_task_single,9,0.7710219942765796,0.0023590094440746516,5,chem_fp_chemberta_kpgt_xgb
cyp2c9_veith,AUPRC,uniform_candidate_average,9,0.7629810563664704,0.005441442704898378,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2c9_veith,AUPRC,validation_stacking,9,0.782104904559692,0.0027236849031379105,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2c9_veith,AUPRC,validation_top2_average,9,0.7756622605240401,0.0018080835394738437,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,AUPRC,validation_top3_average,9,0.7759180821648909,0.0016025463689493646,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
