record_type,task,metric,variant,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason,task_rank,full_variant,full_rank,n_ranked_variants,normalized_rank_loss,candidate,selection_count,selection_frequency,bootstrap_replicates_valid,selection_entropy_normalized,switch_rate
ablation_rank_loss,caco2_wang,MAE,no_ept_or_no_3d,min,5.0,0.3264913979323167,0.0084875913789111,0.256,-0.0704913979323167,-0.0428443979323167,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,MAE,0.4296740733309901,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,,2.0,full_v36_final,1.0,6.0,0.2,,,,,,
ablation_rank_loss,caco2_wang,MAE,no_prediction_level_ensemble,min,5.0,0.3653081944549426,0.022378045376126,0.256,-0.1093081944549426,-0.0816611944549426,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.3888879240827018,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,,5.5,full_v36_final,1.0,6.0,0.9,,,,,,
ablation_rank_loss,caco2_wang,MAE,no_seedbag_single_seed,min,1.0,0.3520695007222605,,0.256,-0.0960695007222605,-0.0684225007222605,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.394596517022906,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,,3.0,full_v36_final,1.0,6.0,0.4,,,,,,
ablation_rank_loss,caco2_wang,MAE,no_task_adaptive_selection,min,5.0,0.3653081944549426,0.022378045376126,0.256,-0.1093081944549426,-0.0816611944549426,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.3888879240827018,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,,5.5,full_v36_final,1.0,6.0,0.9,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,full_v36_final,max,5.0,0.4735898019169064,0.0087237905949024,0.536,-0.0624101980830936,0.0,False,targetwide_safe_fp_xgb,Target-wide leakage-safe family-transfer XGBoost; Morgan fingerprint,,,results_strict/revision_20260918_clearance_hepatocyte_presplit_similarity_v4/final_selected_test_summary.csv,Validation-only selection after one label-free target-universe exact-identity and Morgan-Tanimoto >=0.90 source filter fixed before split-specific fitting; official test labels used only for final scoring.,True,False,False,True,,1.0,full_v36_final,1.0,6.0,0.0,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,no_chemistry_sidecar,max,5.0,0.2539632068715589,0.0,0.536,-0.2820367931284411,-0.2196265950453475,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,Spearman,0.4082347161150715,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,,3.0,full_v36_final,1.0,6.0,0.4,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,no_ept_or_no_3d,max,5.0,0.4586648251126538,0.0146235841763766,0.536,-0.0773351748873462,-0.0149249768042526,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Spearman,0.3936677606371278,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,,2.0,full_v36_final,1.0,6.0,0.2,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,no_prediction_level_ensemble,max,5.0,0.2003195287770167,0.0182003793867156,0.536,-0.3356804712229833,-0.2732702731398897,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4421555810131842,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,,4.5,full_v36_final,1.0,6.0,0.7,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,no_seedbag_single_seed,max,1.0,0.1788322549824511,,0.536,-0.3571677450175489,-0.2947575469344553,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4385020185560137,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,,6.0,full_v36_final,1.0,6.0,1.0,,,,,,
ablation_rank_loss,clearance_hepatocyte_az,Spearman,no_task_adaptive_selection,max,5.0,0.2003195287770167,0.0182003793867156,0.536,-0.3356804712229833,-0.2732702731398897,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4421555810131842,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,,4.5,full_v36_final,1.0,6.0,0.7,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,full_v36_final,max,5.0,0.642814,0.005773,0.63,0.0128139999999999,0.0,True,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,KPGT+EPT seedbag_5x5; equal seed-bag average,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,False,True,True,True,,1.0,full_v36_final,1.0,6.0,0.0,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,no_chemistry_sidecar,max,5.0,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,,4.0,full_v36_final,1.0,6.0,0.6,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,no_ept_or_no_3d,max,5.0,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",False,False,False,False,,4.0,full_v36_final,1.0,6.0,0.6,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,no_prediction_level_ensemble,max,5.0,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",False,False,False,False,,4.0,full_v36_final,1.0,6.0,0.6,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,no_seedbag_single_seed,max,1.0,0.4382058069675574,,0.63,-0.1917941930324425,-0.2046081930324425,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5494725608915224,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,False,False,False,False,,6.0,full_v36_final,1.0,6.0,1.0,,,,,,
ablation_rank_loss,clearance_microsome_az,Spearman,no_task_adaptive_selection,max,5.0,0.5954577077913342,0.010876724540037,0.63,-0.0345422922086657,-0.0473562922086657,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.462867713390107,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_microsome_az/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,,2.0,full_v36_final,1.0,6.0,0.2,,,,,,
ablation_rank_loss,cyp2c9_substrate_carbonmangels,AUPRC,full_v36_final,max,5.0,0.44337,0.023358,0.474,-0.0306299999999999,0.0,False,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,"Canonical backup uses xl fixed chemical endpoint: xl_v4_kpgt/embed_chem_xl_full_chemical_prior/xgb/topk=1024; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,False,True,,2.0,full_v36_final,2.0,6.0,0.0,,,,,,
ablation_rank_loss,cyp2c9_substrate_carbonmangels,AUPRC,no_chemistry_sidecar,max,5.0,0.314733839909625,0.0180864596755884,0.474,-0.1592661600903749,-0.1286361600903749,False,deep_chemberta_kpgt_ridge_linear,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,AUPRC,0.2819285157904561,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ridge_linear/cyp2c9_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,,6.0,full_v36_final,2.0,6.0,0.8,,,,,,
