task,metric,descriptor,group,threshold_task_median,n_samples,positive_n,prevalence,metric_valid,validity_reason,reference_model,comparator_model,reference_seeds,comparator_seeds,bootstrap_replicates_requested,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
clearance_hepatocyte_az,Spearman,molecular_weight,low_or_equal_median,405.50200000000024,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.1491928987236923,0.25964342085317144,-0.11045052212947915,-0.28058431369380366,0.06331950803008848,0.20997900209979,10000.0,0.2456004399560044,False
clearance_hepatocyte_az,Spearman,molecular_weight,above_median,405.50200000000024,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.4510411141671142,0.37452253384988204,0.07651858031723213,-0.11897725616096128,0.2783473375689197,0.4557544245575442,10000.0,0.48148249691159917,False
clearance_hepatocyte_az,Spearman,clogp,low_or_equal_median,3.215300000000001,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.07668877813588698,0.24887996360126372,-0.17219118546537673,-0.35069225583118796,0.011900472793668014,0.0643935606439356,10000.0,0.08435556444355564,False
clearance_hepatocyte_az,Spearman,clogp,above_median,3.215300000000001,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.5182309603591719,0.39447121911603567,0.12375974124313627,-0.05048889157639108,0.299113993145491,0.17718228177182282,10000.0,0.21294384323035587,False
clearance_hepatocyte_az,Spearman,tpsa,low_or_equal_median,77.17,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.3958573664447206,0.3505392839672221,0.04531808247749847,-0.11491172972073505,0.20198453810383768,0.5757424257574243,10000.0,0.589236388861114,False
clearance_hepatocyte_az,Spearman,tpsa,above_median,77.17,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.19989419194799654,0.32086268866823053,-0.12096849672023399,-0.32303531565259386,0.08549839158802867,0.25837416258374163,10000.0,0.29432187216061,False
clearance_microsome_az,Spearman,molecular_weight,low_or_equal_median,424.54100000000017,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.5373014977392051,0.33206681762194257,0.20523468011726254,0.04540666228102013,0.36230270080677746,0.014598540145985401,10000.0,0.021731917717319176,True
clearance_microsome_az,Spearman,molecular_weight,above_median,424.54100000000017,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7574213449964959,0.31949568276059287,0.43792566223590307,0.26730062414697625,0.6208685229910282,0.00019998000199980003,10000.0,0.0004030366194149816,True
clearance_microsome_az,Spearman,clogp,low_or_equal_median,3.8472000000000026,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.51423702198126,0.36741697602256623,0.14682004595869375,-0.011700651300243137,0.30499083128156285,0.071992800719928,10000.0,0.093376800933768,False
clearance_microsome_az,Spearman,clogp,above_median,3.8472000000000026,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7611529835941837,0.29746047832571454,0.46369250526846917,0.29420963347779366,0.6428900736328296,0.00019998000199980003,10000.0,0.0004030366194149816,True
clearance_microsome_az,Spearman,tpsa,low_or_equal_median,76.80000000000001,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.6168263411436026,0.22360806460145047,0.39321827654215213,0.23018952494156492,0.5612159067543372,0.00019998000199980003,10000.0,0.0004030366194149816,True
clearance_microsome_az,Spearman,tpsa,above_median,76.80000000000001,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.6712673358560852,0.45810962597142674,0.21315770988465849,0.07324144345485352,0.3621806532808328,0.0045995400459954,10000.0,0.007724868538787146,True
cyp2c9_substrate_carbonmangels,AUPRC,molecular_weight,low_or_equal_median,334.379,68,21.0,0.3088235294117647,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.38151386219158756,0.33551568775658414,0.045998174435003425,-0.03868188136666917,0.19507392418589437,0.23877612238776122,10000.0,0.2743830880069888,False
cyp2c9_substrate_carbonmangels,AUPRC,molecular_weight,above_median,334.379,67,17.0,0.2537313432835821,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.572874258967451,0.45523186207997446,0.11764239688747657,-0.028723480818299493,0.2608452025702204,0.1131886811318868,10000.0,0.13988412479506765,False
cyp2c9_substrate_carbonmangels,AUPRC,clogp,low_or_equal_median,3.1783400000000013,68,17.0,0.25,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.41739860408277063,0.3882434977386541,0.029155106344116555,-0.07542044037079261,0.20381633702426605,0.4403559644035596,10000.0,0.4728412404661173,False
cyp2c9_substrate_carbonmangels,AUPRC,clogp,above_median,3.1783400000000013,67,21.0,0.31343283582089554,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.5279511876762837,0.3720287451630735,0.1559224425132102,0.01874466199781851,0.3194426029091976,0.028197180281971802,10000.0,0.04043508692609,True
cyp2c9_substrate_carbonmangels,AUPRC,tpsa,low_or_equal_median,57.690000000000005,68,22.0,0.3235294117647059,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.448674909289203,0.3699410393528041,0.07873386993639891,-0.03810596926569879,0.2362532279529121,0.195980401959804,10000.0,0.23129218609670565,False
cyp2c9_substrate_carbonmangels,AUPRC,tpsa,above_median,57.690000000000005,67,16.0,0.23880597014925373,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.4611804664342615,0.3873015588267454,0.07387890760751614,-0.03372561208296814,0.25136373602876133,0.1503849615038496,10000.0,0.18241138849078056,False
