task,variant,delta_margin_vs_full,direction_normalized_margin,selected_candidate
half_life_obach,no_prediction_level_ensemble,-0.0895155775649456,-0.1741255775649456,chem_fp_chemberta_kpgt_xgb
herg,no_prediction_level_ensemble,-0.0468631546391752,-0.0635051546391752,chem_fp_chemberta_kpgt_ept_xgb
hia_hou,no_prediction_level_ensemble,-0.0434158024691359,-0.0421358024691358,chem_fp_chemberta_kpgt_xgb
ld50_zhu,no_prediction_level_ensemble,-0.0162074960295092,-0.0672784960295092,chem_fp_chemberta_kpgt_ept_xgb
lipophilicity_astrazeneca,no_prediction_level_ensemble,-0.0843413431113106,-0.1012363431113106,deep_kpgt_ept_ridge_linear
pgp_broccatelli,no_prediction_level_ensemble,-0.009077476139696,-0.008714476139696,chem_fp_chemberta_kpgt_ept_xgb
ppbr_az,no_prediction_level_ensemble,-1.864394191161672,-1.755011191161672,chem_fp_chemberta_kpgt_ept_xgb
solubility_aqsoldb,no_prediction_level_ensemble,-0.0997589154940069,-0.0972019154940069,chem_fp_chemberta_kpgt_ept_xgb
vdss_lombardo,no_prediction_level_ensemble,-0.2039086660049737,-0.2559136660049736,chem_fp_xgb
ames,no_seedbag_single_seed,-0.0168372046642777,-0.0158922046642777,chem_fp_chemberta_kpgt_xgb
bbb_martins,no_seedbag_single_seed,-0.025339975609756,-0.0215609756097561,chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,no_seedbag_single_seed,-0.0764215949451279,-0.2961735949451278,chem_fp_chemberta_kpgt_xgb
caco2_wang,no_seedbag_single_seed,-0.0684225007222605,-0.0960695007222605,chem_fp_chemberta_kpgt_ept_xgb
clearance_hepatocyte_az,no_seedbag_single_seed,-0.3732077450175489,-0.3571677450175489,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,no_seedbag_single_seed,-0.2046081930324425,-0.1917941930324425,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_seedbag_single_seed,0.0083316156517738,-0.0222983843482261,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,no_seedbag_single_seed,-0.0205162302797955,-0.0889302302797955,chem_fp_chemberta_kpgt_xgb
cyp2d6_substrate_carbonmangels,no_seedbag_single_seed,-0.049006976650722,-0.0374759766507221,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,no_seedbag_single_seed,-0.0183359780864731,-0.0891639780864731,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_seedbag_single_seed,-0.0517634665461121,0.0064855334538878,chem_fp_xgb
cyp3a4_veith,no_seedbag_single_seed,-0.0218176605683542,-0.0536966605683542,chem_fp_chemberta_kpgt_xgb
dili,no_seedbag_single_seed,-0.0507829130434782,-0.0981739130434782,chem_fp_xgb
half_life_obach,no_seedbag_single_seed,-0.0717674912055053,-0.1563774912055052,chem_fp_chemberta_kpgt_xgb
herg,no_seedbag_single_seed,-0.0584979116347569,-0.0751399116347569,chem_fp_chemberta_kpgt_ept_xgb
hia_hou,no_seedbag_single_seed,-0.0486009876543209,-0.0473209876543209,chem_fp_chemberta_kpgt_xgb
ld50_zhu,no_seedbag_single_seed,-0.0187416123432215,-0.0698126123432215,chem_fp_chemberta_kpgt_ept_xgb
lipophilicity_astrazeneca,no_seedbag_single_seed,-0.0843413431113106,-0.1012363431113106,deep_kpgt_ept_ridge_linear
pgp_broccatelli,no_seedbag_single_seed,-0.0110102940549187,-0.0106472940549187,chem_fp_chemberta_kpgt_ept_xgb
ppbr_az,no_seedbag_single_seed,-1.788141898412606,-1.678758898412606,chem_fp_chemberta_kpgt_ept_xgb
solubility_aqsoldb,no_seedbag_single_seed,-0.0975418801021843,-0.0949848801021843,chem_fp_chemberta_kpgt_ept_xgb
vdss_lombardo,no_seedbag_single_seed,-0.1811644889304938,-0.2331694889304938,chem_fp_xgb
ames,no_task_adaptive_selection,-0.0267062054279504,-0.0257612054279504,chem_fp_chemberta_kpgt_ept_xgb
bbb_martins,no_task_adaptive_selection,-0.0229713076923077,-0.0191923076923077,chem_fp_chemberta_kpgt_ept_xgb
