task,category,metric,direction,rank_num,top1_flag,model,model_short,source,leaderboard_rank,score_mean,score_std,is_trimole,endpoint_config
TDC.AMES,Toxicity,AUROC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,4,0.868,0.002,False,
TDC.AMES,Toxicity,AUROC,higher_better,1,1,CFA,CFA,TDC leaderboard,5,0.852,0.005,False,
TDC.AMES,Toxicity,AUROC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.871945,0.000583,True,XGB tabular ensemble
TDC.DILI,Toxicity,AUROC,higher_better,6,0,MiniMol,MiniMol,TDC leaderboard,1,0.956,0.006,False,
TDC.DILI,Toxicity,AUROC,higher_better,6,0,ZairaChem,ZairaChem,TDC leaderboard,2,0.925,0.005,False,
TDC.DILI,Toxicity,AUROC,higher_better,6,0,AttrMasking,AttrMasking,TDC leaderboard,3,0.919,0.008,False,
TDC.DILI,Toxicity,AUROC,higher_better,6,0,CFA,CFA,TDC leaderboard,4,0.919,0.014,False,
TDC.DILI,Toxicity,AUROC,higher_better,6,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,5,0.917,0.005,False,
TDC.DILI,Toxicity,AUROC,higher_better,6,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,6,0.908609,0.00552,True,XL/K+E + descriptor blend
TDC.LD50,Toxicity,MAE,lower_better,5,0,BaseBoosting KyQVZ6b2,BaseBoosting,TDC leaderboard,1,0.552,0.009,False,
TDC.LD50,Toxicity,MAE,lower_better,5,0,ADMETrix,ADMETrix,TDC leaderboard,2,0.573,0.01,False,
TDC.LD50,Toxicity,MAE,lower_better,5,0,MiniMol,MiniMol,TDC leaderboard,3,0.585,0.008,False,
TDC.LD50,Toxicity,MAE,lower_better,5,0,MACCS keys + autoML,MACCS keys + autoML,TDC leaderboard,4,0.588,0.005,False,
TDC.LD50,Toxicity,MAE,lower_better,5,0,Chemprop,Chemprop,TDC leaderboard,5,0.606,0.024,False,
TDC.LD50,Toxicity,MAE,lower_better,5,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,5,0.603071,0.003837,True,ChemBERTa+KPGT chem XGB
TDC.hERG,Toxicity,AUROC,higher_better,6,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.88,0.002,False,
TDC.hERG,Toxicity,AUROC,higher_better,6,0,CFA,CFA,TDC leaderboard,2,0.875,0.014,False,
TDC.hERG,Toxicity,AUROC,higher_better,6,0,SimGCN,SimGCN,TDC leaderboard,3,0.874,0.014,False,
TDC.hERG,Toxicity,AUROC,higher_better,6,0,MapLight,MapLight,TDC leaderboard,4,0.871,0.004,False,
TDC.hERG,Toxicity,AUROC,higher_better,6,0,ZairaChem,ZairaChem,TDC leaderboard,5,0.856,0.009,False,
TDC.hERG,Toxicity,AUROC,higher_better,6,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,6,0.863358,0.002334,True,EPT chem ExtraTrees
