task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
caco2_wang,MAE,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.3611222047252748,0.07884545363458989,0.04460989756560958,0.11201676553955162,0.00019998000199980003,10000,0.0006285085777136572,True
caco2_wang,MAE,trimole_hybrid,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.3499005351404152,0.0676237840497303,0.026595360384292287,0.10815029885766195,0.0017998200179982,10000,0.004658357693642401,True
caco2_wang,MAE,trimole_hybrid,validation_stacking,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.33381200630716945,0.051535255216484555,0.015169206783647629,0.08767743019809401,0.004199580041995801,10000,0.00972534325514817,True
caco2_wang,MAE,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.3229968230219781,0.04072007193129318,0.013631796796168886,0.06891268643981821,0.0035996400359964,10000,0.008484865799134373,True
caco2_wang,MAE,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.29896294139194135,0.016686190301256454,-0.0065128483531863715,0.03922823234231722,0.15758424157584242,10000,0.21444453492795051,False
clearance_hepatocyte_az,Spearman,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.20360484202928877,0.07167165121568717,0.013907908343473845,0.13102496000311467,0.014198580141985802,10000,0.028397160283971604,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.20360484202928877,0.07167165121568717,0.014152470026514758,0.13106688432814784,0.012398760123987601,10000,0.025572442755724428,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.49557359923076716,-0.22029710598579122,-0.29703044405161855,-0.14472634231644957,0.00019998000199980003,10000,0.0006285085777136572,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3960938430357688,-0.12081734979079284,-0.19218837623351603,-0.04870176459802648,0.00039996000399960006,10000,0.0011998800119988001,True
clearance_hepatocyte_az,Spearman,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.24176732095901285,0.03350917228596309,-0.03469927467238331,0.09948136830357249,0.32356764323567644,10000,0.4106820087222047,False
